"feedback_id","order_id","customer_id","rating","feedback_text","feedback_category","sentiment","feedback_year","feedback_month","feedback_day","day_type","area","customer_segment","orders_time","delivery_status","delivery_time_mins"
"2234710","1961864118","30065862",4,"It was okay, nothing special.","Delivery","Neutral","2024","7","17","Weekday","Allahabad","Regular","08:34","On Time",-5
"5450964","1549769649","9573071",3,"The order was incorrect.","App Experience","Negative","2024","5","28","Weekday","Thrissur","New","13:14","On Time",2
"482108","9185164487","45477575",3,"It was okay, nothing special.","App Experience","Neutral","2024","9","23","Weekday","Vellore","Inactive","13:07","On Time",4
"4823104","9644738826","88067569",4,"The product met my expectations.","App Experience","Neutral","2023","11","24","Weekday","Gaya","Premium","16:16","On Time",-1
"3537464","5427684290","83298567",3,"Product was damaged during delivery.","Delivery","Negative","2023","11","20","Weekday","Asansol","Premium","05:00","On Time",1
"4089724","3265154092","43367112",2,"Product was damaged during delivery.","Customer Service","Negative","2023","3","18","Weekend","Gopalpur","New","16:29","On Time",-1
"230696","4898355547","13284996",4,"Highly recommended!","Product Quality","Positive","2023","4","16","Weekend","Phagwara","Regular","18:50","On Time",1
"2259308","6568151549","88866835",2,"I had a bad experience.","App Experience","Negative","2024","3","31","Weekend","South Dumdum","Premium","06:26","On Time",2
"7380970","6006693867","24496983",3,"Product was damaged during delivery.","Delivery","Negative","2023","7","14","Weekday","Kamarhati","Regular","23:49","On Time",3
"2257242","374186990","52215833",3,"The product met my expectations.","App Experience","Neutral","2023","8","9","Weekday","Sirsa","Regular","01:17","Slightly Delayed",7
"1837573","4455336265","43431724",2,"Taste was not as expected.","Delivery","Negative","2023","8","30","Weekday","Rohtak","New","19:37","On Time",-2
"258023","3539286337","77559557",3,"Delivery was fine, but the product could be better.","Delivery","Neutral","2023","4","25","Weekday","Madurai","New","20:32","On Time",-5
"3081099","9171116867","87107263",4,"The product met my expectations.","Customer Service","Neutral","2023","10","22","Weekend","Vijayawada","Inactive","11:15","Slightly Delayed",12
"3158837","5504941865","76512976",5,"Highly recommended!","App Experience","Positive","2024","1","28","Weekend","Belgaum","New","02:39","Slightly Delayed",11
"9465932","5868326481","37556526",4,"Nothing to complain about, but nothing exceptional.","Product Quality","Neutral","2024","3","15","Weekday","Farrukhabad","Inactive","21:07","On Time",-3
"8111644","2137046916","12059049",4,"Overall good experience, thank you!","Customer Service","Positive","2024","2","3","Weekend","Nizamabad","Regular","08:50","On Time",-2
"121425","8195544338","26199489",4,"Nothing to complain about, but nothing exceptional.","Delivery","Neutral","2023","4","26","Weekday","Serampore","Inactive","04:03","Slightly Delayed",8
