order_id,delivery_partner_id,promised_time,actual_time,promised_date,actual_date,delivery_time_mins,distance_km,delivery_status,delay_reason
1961864118,63230,08:52:01,08:47:01,2024-07-17,2024-07-17,-5,0.96,On Time,
1549769649,14983,13:25:29,13:27:29,2024-05-28,2024-05-28,2,0.98,On Time,Traffic
9185164487,39859,13:25:12,13:29:12,2024-09-23,2024-09-23,4,3.83,On Time,Traffic
9644738826,61497,16:34:56,16:33:56,2023-11-24,2023-11-24,-1,2.76,On Time,
5427684290,84315,05:17:39,05:18:39,2023-11-20,2023-11-20,1,2.63,On Time,Traffic
3265154092,554,16:49:51,16:48:51,2023-03-18,2023-03-18,-1,1.94,On Time,
4898355547,14630,19:01:37,19:02:37,2023-04-16,2023-04-16,1,2.2,On Time,Traffic
6568151549,67714,06:37:48,06:39:48,2024-03-31,2024-03-31,2,1.3,On Time,Traffic
6006693867,91362,00:02:36,00:05:36,2023-07-14,2023-07-14,3,3.38,On Time,Traffic
374186990,77203,01:37:30,01:44:30,2023-08-09,2023-08-09,7,1.47,Slightly Delayed,Traffic
4455336265,64046,19:47:06,19:45:06,2023-08-30,2023-08-30,-2,0.76,On Time,
3539286337,94899,20:44:24,20:39:24,2023-04-25,2023-04-25,-5,3.68,On Time,
9171116867,73907,11:25:33,11:37:33,2023-10-22,2023-10-22,12,2.23,Slightly Delayed,Traffic
5504941865,56077,02:55:11,03:06:11,2024-01-28,2024-01-28,11,4.45,Slightly Delayed,Traffic
5868326481,94140,21:24:07,21:21:07,2024-03-15,2024-03-15,-3,2.8,On Time,
2137046916,12377,09:03:32,09:01:32,2024-02-03,2024-02-03,-2,1.78,On Time,
8195544338,102,04:20:57,04:28:57,2023-04-26,2023-04-26,8,1.16,Slightly Delayed,Traffic
2889700050,45032,16:33:26,16:36:26,2024-04-30,2024-04-30,3,3.07,On Time,Traffic
65827885,1108,00:25:05,00:20:05,2023-07-27,2023-07-27,-5,1.65,On Time,
4656471694,62782,08:27:08,08:35:08,2023-12-09,2023-12-09,8,3.7,Slightly Delayed,Traffic
6625178717,74906,04:40:22,04:53:22,2023-07-01,2023-07-01,13,4.22,Slightly Delayed,Traffic
7169557514,79516,05:38:13,05:50:13,2023-03-21,2023-03-21,12,3.28,Slightly Delayed,Traffic
2268306684,65733,15:11:08,15:10:08,2024-05-28,2024-05-28,-1,1.82,On Time,
6905293278,53868,10:36:23,11:02:23,2024-06-16,2024-06-16,26,0.58,Significantly Delayed,Traffic
1769493463,22954,07:29:47,07:24:47,2024-06-26,2024-06-26,-5,1.21,On Time,
5003387344,21004,11:05:47,11:00:47,2024-06-23,2024-06-23,-5,4.52,On Time,
2064484752,43022,23:00:49,22:55:49,2024-05-07,2024-05-07,-5,2.29,On Time,
964822979,42914,10:49:00,10:47:00,2024-07-13,2024-07-13,-2,1.09,On Time,
6037899648,59131,18:00:43,18:04:43,2024-03-27,2024-03-27,4,4.56,On Time,Traffic
9347571484,88612,17:26:15,17:39:15,2024-11-02,2024-11-02,13,3.29,Slightly Delayed,Traffic
3286177534,90038,00:09:15,00:07:15,2023-06-25,2023-06-25,-2,3.07,On Time,
9073572548,28575,23:25:42,23:47:42,2023-05-02,2023-05-02,22,4.77,Significantly Delayed,Traffic
8395583761,84816,23:53:44,23:48:44,2024-08-04,2024-08-04,-5,3.53,On Time,
6355378227,23910,17:06:36,17:05:36,2023-08-11,2023-08-11,-1,3.91,On Time,
277376321,78589,04:45:12,04:44:12,2024-07-28,2024-07-28,-1,3.85,On Time,
8559748526,93002,18:27:19,18:28:19,2023-04-05,2023-04-05,1,0.94,On Time,Traffic
1458051433,61040,09:30:56,09:26:56,2024-04-26,2024-04-26,-4,2.75,On Time,
5838302640,30907,06:02:25,06:09:25,2023-05-12,2023-05-12,7,1.7,Slightly Delayed,Traffic
1380971977,52614,13:21:55,13:16:55,2024-06-02,2024-06-02,-5,4.09,On Time,
1221099013,60689,11:01:59,11:03:59,2023-07-23,2023-07-23,2,3.15,On Time,Traffic
6771166303,98179,04:36:07,04:48:07,2023-07-24,2023-07-24,12,2.55,Slightly Delayed,Traffic
7111337755,84833,06:07:44,06:04:44,2023-05-06,2023-05-06,-3,3.44,On Time,
5562922993,73904,02:14:19,02:17:19,2023-12-06,2023-12-06,3,1.64,On Time,Traffic
5630957897,14408,07:32:42,07:36:42,2024-06-18,2024-06-18,4,3.92,On Time,Traffic
1787380558,95835,17:43:58,17:45:58,2023-11-08,2023-11-08,2,2.8,On Time,Traffic
32613017,77303,00:36:41,00:36:41,2023-03-17,2023-03-17,0,4.0,On Time,
2039041670,31963,10:05:47,10:20:47,2024-11-01,2024-11-01,15,2.12,Slightly Delayed,Traffic
210693801,14789,04:10:25,04:12:25,2024-08-21,2024-08-21,2,2.5,On Time,Traffic
8120002258,61526,00:15:08,00:11:08,2024-01-01,2024-01-01,-4,2.43,On Time,
2177917034,75636,20:16:51,20:25:51,2024-02-08,2024-02-08,9,0.73,Slightly Delayed,Traffic
4254814926,1761,06:34:58,06:33:58,2024-04-21,2024-04-21,-1,1.74,On Time,
6074172790,3481,02:26:37,02:30:37,2023-07-26,2023-07-26,4,2.48,On Time,Traffic
3381573131,50582,00:47:21,00:42:21,2024-07-16,2024-07-16,-5,4.91,On Time,
3773745777,97135,14:58:25,14:58:25,2024-05-02,2024-05-02,0,3.31,On Time,
9251939156,57095,12:51:53,12:58:53,2023-12-30,2023-12-30,7,2.35,Slightly Delayed,Traffic
3872982303,60234,01:24:33,01:25:33,2024-02-03,2024-02-03,1,2.6,On Time,Traffic
2625987757,51273,07:54:43,07:56:43,2023-08-01,2023-08-01,2,4.7,On Time,Traffic
3162249401,47552,13:31:58,13:31:58,2024-05-03,2024-05-03,0,1.72,On Time,
3108986741,60867,19:43:19,19:44:19,2023-10-17,2023-10-17,1,2.09,On Time,Traffic
1851474741,12879,13:42:17,13:51:17,2023-11-01,2023-11-01,9,4.09,Slightly Delayed,Traffic
