product_id,date,stock_received,damaged_stock
153019,17/03/2023,4,2
848226,17/03/2023,4,2
965755,17/03/2023,1,0
39154,17/03/2023,4,0
34186,17/03/2023,3,2
478531,17/03/2023,4,2
812607,17/03/2023,4,0
818990,17/03/2023,4,0
14145,17/03/2023,0,2
847349,17/03/2023,0,2
284460,17/03/2023,4,0
77308,17/03/2023,0,2
654297,17/03/2023,4,2
376447,17/03/2023,4,0
217710,17/03/2023,0,2
888807,17/03/2023,1,0
41853,17/03/2023,4,0
257719,17/03/2023,4,0
741341,17/03/2023,0,2
500633,17/03/2023,0,2
799952,17/03/2023,3,0
833557,17/03/2023,4,0
324809,17/03/2023,1,0
455083,17/03/2023,0,2
592784,17/03/2023,3,0
578097,17/03/2023,0,2
487065,17/03/2023,4,0
734789,17/03/2023,4,0
949818,17/03/2023,0,2
654623,17/03/2023,4,0
378230,17/03/2023,0,2
990993,17/03/2023,1,0
762527,17/03/2023,4,0
602241,17/03/2023,1,2
491521,17/03/2023,3,0
832348,17/03/2023,3,2
567671,17/03/2023,4,0
991434,17/03/2023,0,2
540618,17/03/2023,3,0
107548,17/03/2023,0,2
687218,17/03/2023,3,2
328457,17/03/2023,3,0
300159,17/03/2023,3,2
378676,17/03/2023,3,0
532965,17/03/2023,4,0
305754,17/03/2023,1,0
491314,17/03/2023,0,2
470449,17/03/2023,0,2
623234,17/03/2023,0,2
652118,17/03/2023,0,2
611575,17/03/2023,3,0
621677,17/03/2023,3,0
306177,17/03/2023,4,0
692985,17/03/2023,0,2
487931,17/03/2023,0,2
901144,17/03/2023,3,0
53833,17/03/2023,4,0
490602,17/03/2023,4,0
131136,17/03/2023,0,2
287070,17/03/2023,1,0
317242,17/03/2023,3,0
644847,17/03/2023,0,2
461804,17/03/2023,3,0
94225,17/03/2023,0,2
820541,17/03/2023,3,0
91670,17/03/2023,3,2
336847,17/03/2023,0,2
144124,17/03/2023,3,2
677542,17/03/2023,1,0
604184,17/03/2023,1,0
894539,17/03/2023,0,2
968887,17/03/2023,4,0
739448,17/03/2023,0,2
700048,17/03/2023,3,2
473647,17/03/2023,3,0
753354,17/03/2023,3,0
490939,17/03/2023,4,0
803607,17/03/2023,0,2
799688,17/03/2023,0,2
684939,17/03/2023,0,2
615545,17/03/2023,0,2
366066,17/03/2023,0,2
970529,17/03/2023,3,2
820973,17/03/2023,0,2
433521,17/03/2023,3,2
927651,17/03/2023,3,0
930284,17/03/2023,0,2
432617,17/03/2023,0,2
942001,17/03/2023,3,2
585299,17/03/2023,3,0
52729,17/03/2023,4,0
661577,17/03/2023,3,0
951463,17/03/2023,4,0
243235,17/03/2023,3,2
564692,17/03/2023,4,0
131748,17/03/2023,4,0
186168,17/03/2023,0,2
537274,17/03/2023,0,2
913428,17/03/2023,4,0
726958,17/03/2023,3,0
613942,17/03/2023,0,2
784673,17/03/2023,0,2
425341,17/03/2023,1,0
760828,17/03/2023,0,2
677169,17/03/2023,4,0
557908,17/03/2023,0,2
566052,17/03/2023,0,2
137909,17/03/2023,0,2
799459,17/03/2023,0,2
992178,17/03/2023,0,2
26060,17/03/2023,3,0
237083,17/03/2023,4,0
240179,17/03/2023,0,2
153019,18/03/2023,0,2
669378,18/03/2023,3,0
890623,18/03/2023,4,0
516376,18/03/2023,0,2
34186,18/03/2023,0,2
196719,18/03/2023,0,2
818990,18/03/2023,1,0
349294,18/03/2023,3,2
284460,18/03/2023,0,2
552883,18/03/2023,4,0
952124,18/03/2023,0,2
555121,18/03/2023,3,0
217710,18/03/2023,0,2
89084,18/03/2023,4,2
891833,18/03/2023,0,2
741341,18/03/2023,0,2
329351,18/03/2023,3,0
324809,18/03/2023,4,0
337168,18/03/2023,4,2
659290,18/03/2023,3,0
883013,18/03/2023,3,0
455083,18/03/2023,4,0
183929,18/03/2023,0,2
578097,18/03/2023,0,2
949818,18/03/2023,3,0
690565,18/03/2023,0,2
361361,18/03/2023,3,0
378230,18/03/2023,3,0
658389,18/03/2023,0,2
762527,18/03/2023,1,0
952168,18/03/2023,0,2
587420,18/03/2023,4,0
491521,18/03/2023,1,0
914071,18/03/2023,4,0
567671,18/03/2023,3,0
319388,18/03/2023,0,2
681063,18/03/2023,0,2
679321,18/03/2023,0,2
378287,18/03/2023,4,0
118820,18/03/2023,3,0
667163,18/03/2023,4,0
228286,18/03/2023,1,2
890232,18/03/2023,0,2
365132,18/03/2023,3,2
689769,18/03/2023,4,0
305754,18/03/2023,3,0
33955,18/03/2023,0,2
623234,18/03/2023,3,0
652118,18/03/2023,0,2
187399,18/03/2023,0,2
621677,18/03/2023,0,2
272170,18/03/2023,3,2
487931,18/03/2023,4,0
901144,18/03/2023,4,0
945635,18/03/2023,3,0
760684,18/03/2023,0,2
354409,18/03/2023,0,2
490602,18/03/2023,3,0
131136,18/03/2023,4,0
679865,18/03/2023,0,2
317242,18/03/2023,3,0
644847,18/03/2023,0,2
993331,18/03/2023,1,2
807452,18/03/2023,4,2
